Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
01-06-2021;00:00:00;01-06-2021;00:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,026;kWh;Gevalideerd
01-06-2021;00:00:00;01-06-2021;00:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;00:15:00;01-06-2021;00:30:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,115;kWh;Gevalideerd
01-06-2021;00:15:00;01-06-2021;00:30:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;00:30:00;01-06-2021;00:45:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,077;kWh;Gevalideerd
01-06-2021;00:30:00;01-06-2021;00:45:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;00:45:00;01-06-2021;01:00:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,028;kWh;Gevalideerd
01-06-2021;00:45:00;01-06-2021;01:00:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;01:00:00;01-06-2021;01:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,071;kWh;Gevalideerd
01-06-2021;01:00:00;01-06-2021;01:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;01:15:00;01-06-2021;01:30:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,069;kWh;Gevalideerd
01-06-2021;01:15:00;01-06-2021;01:30:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;01:30:00;01-06-2021;01:45:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,055;kWh;Gevalideerd
01-06-2021;01:30:00;01-06-2021;01:45:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;01:45:00;01-06-2021;02:00:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,072;kWh;Gevalideerd
01-06-2021;01:45:00;01-06-2021;02:00:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;02:00:00;01-06-2021;02:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,037;kWh;Gevalideerd
01-06-2021;02:00:00;01-06-2021;02:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;02:15:00;01-06-2021;02:30:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,015;kWh;Gevalideerd
01-06-2021;02:15:00;01-06-2021;02:30:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;02:30:00;01-06-2021;02:45:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,009;kWh;Gevalideerd
01-06-2021;02:30:00;01-06-2021;02:45:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;02:45:00;01-06-2021;03:00:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,091;kWh;Gevalideerd
01-06-2021;02:45:00;01-06-2021;03:00:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-06-2021;03:00:00;01-06-2021;03:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Afname Nacht;0,212;kWh;Gevalideerd
01-06-2021;03:00:00;01-06-2021;03:15:00;="000000000000000000";0ABC0000000000;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
